system:index,Date,.geo
246,NDMI_20110206,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,NDMI_20110222,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,NDMI_20110326,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,NDMI_20110411,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,NDMI_20110427,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,NDMI_20110513,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,NDMI_20110529,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,NDMI_20120108,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,NDMI_20120124,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,NDMI_20120225,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,NDMI_20120328,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,NDMI_20120413,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,NDMI_20120429,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,NDMI_20120531,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,NDMI_20120904,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,NDMI_20120920,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,NDMI_20121006,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,NDMI_20121107,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,NDMI_20121123,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,NDMI_20121209,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,NDMI_20121225,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,NDMI_20130110,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,NDMI_20130126,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,NDMI_20130211,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,NDMI_20130227,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,NDMI_20130416,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,NDMI_20130502,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,NDMI_20130518,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,NDMI_20130603,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,NDMI_20130611,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,NDMI_20130627,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,NDMI_20130713,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,NDMI_20130729,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,NDMI_20130814,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,NDMI_20130822,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,NDMI_20130907,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,NDMI_20130923,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,NDMI_20131001,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,NDMI_20131102,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,NDMI_20131118,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,NDMI_20131126,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,NDMI_20131204,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,NDMI_20131220,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,NDMI_20140105,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,NDMI_20140113,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,NDMI_20140121,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,NDMI_20140129,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,NDMI_20140222,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,NDMI_20140302,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,NDMI_20140310,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,NDMI_20140318,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,NDMI_20140326,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,NDMI_20140403,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,NDMI_20140411,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,NDMI_20140419,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,NDMI_20140427,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,NDMI_20140505,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,NDMI_20140614,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,NDMI_20140622,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,NDMI_20140708,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,NDMI_20140716,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,NDMI_20140801,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,NDMI_20140809,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,NDMI_20140817,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,NDMI_20140902,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,NDMI_20140910,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,NDMI_20140918,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,NDMI_20141004,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,NDMI_20141020,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,NDMI_20141028,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,NDMI_20141215,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,NDMI_20141223,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,NDMI_20150201,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,NDMI_20150209,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,NDMI_20150217,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,NDMI_20150225,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,NDMI_20150305,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,NDMI_20150321,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,NDMI_20150414,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,NDMI_20150422,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,NDMI_20150508,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,NDMI_20150516,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,NDMI_20150601,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,NDMI_20150719,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,NDMI_20150727,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,NDMI_20150804,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,NDMI_20150820,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,NDMI_20150905,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,NDMI_20150913,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,NDMI_20151007,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,NDMI_20151023,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,NDMI_20151031,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,NDMI_20151108,"{""type"":""MultiPoint"",""coordinates"":[]}"
